Date,Price,Open,High,Low,Volume,Chg%
22-09-2020,50454,50637.0,50750.0,50190.0,36990.0,-0.11
23-09-2020,49576,50350.0,50470.0,49510.0,42440.0,-1.74
24-09-2020,49959,49500.0,50038.0,49292.0,41420.0,0.77
25-09-2020,49539,49890.0,49922.0,49330.0,31360.0,-0.84
28-09-2020,49928,49499.0,50005.0,49212.0,8940.0,0.79
29-09-2020,50607,50096.0,50650.0,49925.0,470.0,1.36
30-09-2020,50232,50455.0,50500.0,50070.0,310.0,-0.74
01-10-2020,50345,50299.0,50465.0,50169.0,110.0,0.22
05-10-2020,50809,50001.0,50871.0,50001.0,140.0,0.92
06-10-2020,50617,50637.0,51058.0,50527.0,29170.0,-0.38
07-10-2020,50133,50346.0,50437.0,49910.0,34580.0,-0.96
08-10-2020,50239,50115.0,50470.0,50000.0,29790.0,0.21
09-10-2020,50872,50400.0,50988.0,50400.0,30470.0,1.26
12-10-2020,51166,51000.0,51238.0,50984.0,21900.0,0.58
13-10-2020,50306,50980.0,51131.0,50231.0,33720.0,-1.68
14-10-2020,50614,50333.0,50771.0,50326.0,25030.0,0.61
15-10-2020,50775,50480.0,50849.0,50356.0,28690.0,0.32
16-10-2020,50605,50666.0,50860.0,50521.0,20350.0,-0.33
19-10-2020,50751,50609.0,50970.0,50271.0,21200.0,0.29
20-10-2020,50937,50688.0,50980.0,50551.0,23660.0,0.37
21-10-2020,51313,51000.0,51398.0,50967.0,26660.0,0.74
22-10-2020,50741,51170.0,51186.0,50563.0,22820.0,-1.11
23-10-2020,50820,50801.0,51040.0,50659.0,22780.0,0.16
26-10-2020,50953,50686.0,51100.0,50531.0,24720.0,0.26
27-10-2020,50984,50999.0,51111.0,50766.0,20580.0,0.06
28-10-2020,50483,50915.0,51049.0,50306.0,27040.0,-0.98
29-10-2020,50276,50444.0,50610.0,50122.0,21880.0,-0.41
30-10-2020,50641,50370.0,50790.0,50197.0,4860.0,0.73
02-11-2020,51032,50715.0,51068.0,50582.0,700.0,0.77
03-11-2020,51509,51029.0,51572.0,50737.0,320.0,0.93
04-11-2020,50829,51375.0,51455.0,50790.0,930.0,-1.32
05-11-2020,51901,51115.0,52079.0,51035.0,380.0,2.11
06-11-2020,52190,51900.0,52490.0,51762.0,36600.0,0.56
09-11-2020,49795,52300.0,52530.0,49526.0,68550.0,-4.59
10-11-2020,50561,50150.0,50665.0,50150.0,36310.0,1.54
11-11-2020,50230,50542.0,50580.0,50010.0,31070.0,-0.65
12-11-2020,50652,50352.0,50847.0,50272.0,27720.0,0.84
13-11-2020,50956,50636.0,51161.0,50636.0,23840.0,0.6
14-11-2020,50945,50961.0,51125.0,50901.0,2260.0,-0.02
16-11-2020,50870,50948.0,51080.0,50111.0,22590.0,-0.15
17-11-2020,50806,50880.0,51038.0,50727.0,21980.0,-0.13
18-11-2020,50377,50680.0,50690.0,50108.0,30920.0,-0.84
19-11-2020,50063,50242.0,50265.0,49830.0,31010.0,-0.62
20-11-2020,50279,50100.0,50491.0,50001.0,25040.0,0.43
